employee_id,first_name,last_name,gender,role,store_id,hire_date,monthly_salary_egp
EMP0092,Sherif,Gamal,Male,Cashier,4,09/06/2022,5302
EMP0093,Eman,Hassan,Female,Cashier,4,03/04/2024,3994
EMP0094,Suzy,Amin,Female,Cashier,4,23/11/2023,4505
EMP0095,Ibrahim,Ismail,Male,Store Manager,5,24/02/2021,14597
EMP0096,Noha,Ismail,Female,Cashier,5,16/12/2019,4066
EMP0097,Lobna,Sayed,Female,Sales Associate,5,08/05/2019,4739
EMP0098,Ahmed,Abdallah,Male,Sales Associate,5,02/01/2020,5133
EMP0099,Khaled,Fathy,Male,Store Manager,5,19/01/2017,14082
EMP0100,Magdy,Hafez,Male,Department Manager,5,09/01/2018,10427
EMP0101,Rania,Ibrahim,Female,Cashier,5,03/08/2022,4681
EMP0102,Nour,Salem,Female,Department Manager,5,10/10/2018,8674
EMP0103,Rania,Ragab,Female,Store Manager,5,13/09/2019,14422
EMP0104,Shaimaa,Ramadan,Female,Cashier,5,20/10/2020,3623
EMP0105,Heba,Nasser,Female,Cashier,5,22/05/2019,3666
EMP0106,Amr,Ibrahim,Male,Cashier,5,14/01/2018,4422
EMP0107,Hoda,Younis,Female,Cashier,5,10/04/2016,4947
EMP0108,Maged,Ibrahim,Male,Cashier,5,26/05/2019,5120
EMP0109,Amira,Ramadan,Female,Cashier,5,08/09/2017,4826
EMP0110,Emad,Salem,Male,Cashier,5,06/01/2017,5123
EMP0111,Samir,Badawi,Male,Store Manager,5,23/08/2017,14122
EMP0112,Eman,Wahba,Female,Store Manager,5,15/08/2024,13664
EMP0113,Noha,Ramadan,Female,Store Manager,6,16/02/2024,14212
EMP0114,Fady,Sayed,Male,Sales Associate,6,14/06/2022,5420
EMP0115,Walid,Ali,Male,Cashier,6,11/02/2024,4016
EMP0116,Walid,Wahba,Male,Cashier,6,28/11/2021,4611
EMP0117,Ali,Ismail,Male,Store Manager,6,25/10/2023,14520
EMP0118,Nour,Nasser,Female,Sales Associate,6,05/09/2023,5899
EMP0119,Hossam,Mostafa,Male,Sales Associate,6,20/11/2021,5636
EMP0120,Youssef,Zaki,Male,Department Manager,6,14/09/2021,8690
EMP0121,Ibrahim,Attia,Male,Sales Associate,6,27/11/2021,4315
EMP0122,Samir,Wahba,Male,Store Manager,6,27/07/2023,14488
EMP0123,Reem,Attia,Female,Sales Associate,6,07/07/2022,5887
EMP0124,Mariam,Ibrahim,Female,Senior Sales Associate,6,11/07/2023,7913
EMP0125,Eman,Hassan,Female,Cashier,6,10/12/2023,5215
EMP0126,Suzy,Salem,Female,Cashier,6,16/09/2024,4206
EMP0127,Essam,Lotfy,Male,Store Manager,7,26/11/2023,15180
EMP0128,Yasmin,Fathy,Female,Cashier,7,17/03/2022,5477
EMP0129,Heba,Badawi,Female,Cashier,7,15/09/2022,3531
EMP0130,Zeinab,Salem,Female,Cashier,7,26/08/2022,5484
EMP0131,Walid,Mahmoud,Male,Cashier,7,28/11/2023,4592
EMP0132,Fady,Fathy,Male,Department Manager,7,20/01/2024,8640
EMP0133,Samir,Farouk,Male,Department Manager,7,14/02/2024,8701
EMP0134,Heba,Badawi,Female,Cashier,7,10/12/2022,5350
EMP0135,Fady,Ahmed,Male,Department Manager,7,12/06/2023,9382
EMP0136,Akram,Ragab,Male,Cashier,7,26/11/2024,3868
EMP0137,Osama,Attia,Male,Store Manager,8,01/11/2021,15340
EMP0138,Lobna,Khalil,Female,Senior Sales Associate,8,12/08/2019,7203
EMP0139,Ayman,Rizk,Male,Senior Sales Associate,8,07/05/2022,6787
EMP0140,Heba,Amin,Female,Sales Associate,8,12/10/2022,5177
EMP0141,Samir,Mohamed,Male,Cashier,8,09/07/2024,3516
EMP0142,Nour,Fathy,Female,Department Manager,8,20/04/2021,10142
EMP0143,Karim,Rizk,Male,Cashier,8,25/12/2024,4850
EMP0144,Mariam,Sayed,Female,Senior Sales Associate,8,02/11/2024,6632
EMP0145,Ashraf,Mansour,Male,Store Manager,9,26/03/2021,14604
EMP0146,Neveen,Barakat,Female,Cashier,9,27/05/2024,3836
EMP0147,Essam,Younis,Male,Sales Associate,9,15/02/2022,5972
EMP0148,Hany,Shaaban,Male,Cashier,9,03/06/2024,5119
EMP0149,Osama,Mostafa,Male,Senior Sales Associate,9,22/06/2023,7533
EMP0150,Samah,Hamdy,Female,Sales Associate,9,08/11/2020,4965
EMP0151,Fady,Farouk,Male,Store Manager,9,27/11/2020,14450
EMP0152,Mariam,Lotfy,Female,Store Manager,10,22/06/2021,15444
EMP0153,Zeinab,Salem,Female,Store Manager,10,04/11/2021,15207
EMP0154,Ashraf,Saad,Male,Cashier,10,12/12/2018,3944
EMP0155,Wael,Hamdy,Male,Sales Associate,10,12/11/2018,5115
EMP0156,Ola,Ahmed,Female,Senior Sales Associate,10,07/05/2021,7982
EMP0157,Maged,Mahmoud,Male,Sales Associate,10,21/04/2023,5309
EMP0158,Aisha,Ahmed,Female,Sales Associate,10,08/06/2024,4257
EMP0159,Hana,Ibrahim,Female,Store Manager,10,07/09/2024,14700
EMP0160,Hany,Hafez,Male,Cashier,10,26/03/2024,5344
EMP0161,Eman,Salem,Female,Sales Associate,10,09/09/2019,5635
EMP0162,Mohamed,Abdallah,Male,Sales Associate,10,26/06/2018,5614
EMP0163,Fady,Mohamed,Male,Department Manager,10,02/05/2019,8759
EMP0164,Mona,Barakat,Female,Store Manager,11,21/08/2023,15474
EMP0165,Essam,Shaaban,Male,Cashier,11,04/11/2024,4504
EMP0166,Engy,Ibrahim,Female,Sales Associate,11,20/06/2021,4303
EMP0167,Emad,Bakr,Male,Sales Associate,11,17/10/2024,4603
EMP0168,Ayman,Sayed,Male,Cashier,11,21/11/2021,5297
EMP0169,Hana,Ramadan,Female,Cashier,11,14/04/2024,4194
EMP0170,Manar,Ragab,Female,Cashier,11,14/06/2021,4140
EMP0171,Neveen,Salem,Female,Sales Associate,11,03/02/2024,5703
EMP0172,Ayman,Sayed,Male,Cashier,11,18/03/2023,3622
EMP0173,Ghada,Mostafa,Female,Department Manager,11,28/06/2024,9862
EMP0174,Ola,Hamdy,Female,Store Manager,12,19/05/2018,13963
EMP0175,Aisha,Saad,Female,Cashier,12,09/03/2017,4939
EMP0176,Ghada,Gamal,Female,Sales Associate,12,28/03/2017,4293
EMP0177,Manar,Ibrahim,Female,Store Manager,12,21/12/2019,15490
EMP0178,Akram,Nasser,Male,Store Manager,12,15/07/2023,14198
EMP0179,Adel,Bakr,Male,Cashier,12,05/01/2018,3822
EMP0180,Nour,Mahmoud,Female,Sales Associate,12,22/08/2021,4868
EMP0181,Magdy,Ragab,Male,Department Manager,12,25/04/2021,9549
EMP0182,Ayman,Mostafa,Male,Senior Sales Associate,12,22/11/2021,7214
EMP0183,Adel,Ali,Male,Cashier,12,20/07/2020,3612
EMP0184,Adel,Nasser,Male,Department Manager,12,10/05/2019,9171
EMP0185,Ramy,Ibrahim,Male,Store Manager,13,02/12/2023,14393
EMP0186,Omar,Bakr,Male,Sales Associate,13,19/07/2024,4828
EMP0187,Zeinab,Younis,Female,Sales Associate,13,01/07/2022,5978
EMP0188,Maged,Hamdy,Male,Cashier,13,28/07/2022,3716
EMP0189,Walid,Barakat,Male,Cashier,13,28/07/2022,4135
EMP0190,Salma,Hafez,Female,Senior Sales Associate,13,17/02/2022,7296
EMP0191,Hazem,Ismail,Male,Senior Sales Associate,13,24/06/2023,7962
EMP0192,Yasmin,Amin,Female,Cashier,13,09/03/2022,3904
EMP0193,Tamer,Ibrahim,Male,Department Manager,13,16/11/2022,9450
EMP0194,Nour,Gamal,Female,Store Manager,14,10/02/2024,14445
EMP0195,Ali,Hamdy,Male,Cashier,14,21/02/2022,5269
EMP0196,Dina,Wahba,Female,Cashier,14,19/08/2023,4635
EMP0197,Mona,Badawi,Female,Cashier,14,07/11/2024,4158
EMP0198,Reham,Salem,Female,Senior Sales Associate,14,04/08/2020,7660
EMP0199,Ghada,Mahmoud,Female,Cashier,14,06/11/2024,3580
EMP0200,Magdy,Badawi,Male,Sales Associate,14,20/09/2024,4325
EMP0201,Samir,Lotfy,Male,Cashier,14,22/06/2023,4724
EMP0202,Nader,Ibrahim,Male,Cashier,14,18/02/2022,4889
EMP0203,Osama,Salem,Male,Store Manager,14,19/02/2022,14859
EMP0204,Mohamed,Hamdy,Male,Store Manager,15,07/03/2021,14199
EMP0205,Suzy,Ismail,Female,Senior Sales Associate,15,05/03/2020,6158
EMP0206,Hussein,Wahba,Male,Cashier,15,17/12/2023,3577
EMP0207,Mariam,Lotfy,Female,Store Manager,15,06/03/2020,15202
EMP0208,Rana,Badawi,Female,Cashier,15,12/07/2019,4885
EMP0209,Engy,Younis,Female,Senior Sales Associate,15,08/08/2024,7093
EMP0210,Essam,Ismail,Male,Sales Associate,15,19/11/2021,4902
EMP0211,Samir,Lotfy,Male,Store Manager,15,14/09/2023,15478
EMP0212,Karim,Abdallah,Male,Cashier,15,21/01/2021,4484
EMP0213,Heba,Barakat,Female,Cashier,15,03/05/2019,5062
EMP0214,Magdy,Wahba,Male,Senior Sales Associate,15,03/07/2020,7938
EMP0215,Engy,Gamal,Female,Sales Associate,15,02/07/2019,4811
EMP0216,Wael,Lotfy,Male,Cashier,15,08/06/2019,3557
